product_key,product_id,product_name,category,subcategory,gender,size,color,collection_season,list_price,unit_cost,is_active
130,PRD-0130,Ivory Boots,Footwear,Boots,Unisex,12,Ivory,Holiday 2024,131.61,59.22,True
131,PRD-0131,Beige Sneakers,Footwear,Sneakers,Women's,7,Beige,Spring 2025,81.53,36.69,True
132,PRD-0132,Camel Sneakers,Footwear,Sneakers,Unisex,7,Camel,Spring 2025,65.46,29.46,True
133,PRD-0133,Beige Sneakers,Footwear,Sneakers,Unisex,11,Beige,Spring 2024,136.54,61.44,True
134,PRD-0134,Black Boots,Footwear,Boots,Women's,10,Black,Spring 2025,116.33,52.35,True
135,PRD-0135,Navy Boots,Footwear,Boots,Men's,6,Navy,Spring 2025,172.93,77.82,True
136,PRD-0136,White Boots,Footwear,Boots,Women's,9,White,Holiday 2023,68.89,31.0,True
137,PRD-0137,Black Sandals,Footwear,Sandals,Unisex,7,Black,Spring 2024,157.34,70.8,True
138,PRD-0138,Grey Boots,Footwear,Boots,Women's,6,Grey,Holiday 2024,151.73,68.28,True
139,PRD-0139,Ivory Sandals,Footwear,Sandals,Unisex,7,Ivory,Holiday 2024,105.65,47.54,True
140,PRD-0140,Ivory Boots,Footwear,Boots,Men's,9,Ivory,Spring 2025,128.24,57.71,True
141,PRD-0141,White Handbag,Accessories,Bags,Unisex,,White,Holiday 2023,46.28,13.88,True
142,PRD-0142,White Belt,Accessories,Belts,Unisex,,White,Holiday 2023,26.99,8.1,True
143,PRD-0143,Navy Scarf,Accessories,Scarves,Women's,,Navy,Holiday 2023,35.43,10.63,True
144,PRD-0144,Beige Scarf,Accessories,Scarves,Men's,,Beige,Holiday 2023,26.57,7.97,True
145,PRD-0145,Denim Blue Belt,Accessories,Belts,Unisex,,Denim Blue,Holiday 2023,49.37,14.81,True
146,PRD-0146,Ivory Belt,Accessories,Belts,Unisex,,Ivory,Holiday 2025,55.2,16.56,True
147,PRD-0147,White Necklace,Accessories,Jewelry,Men's,,White,Holiday 2025,26.24,7.87,True
148,PRD-0148,Navy Necklace,Accessories,Jewelry,Men's,,Navy,Holiday 2023,17.98,5.39,True
149,PRD-0149,Ivory Belt,Accessories,Belts,Unisex,,Ivory,Holiday 2024,36.96,11.09,True
150,PRD-0150,Beige Hat,Accessories,Hats,Unisex,,Beige,Holiday 2025,35.13,10.54,True
151,PRD-0151,Camel Belt,Accessories,Belts,Unisex,,Camel,Holiday 2024,36.89,11.07,True
152,PRD-0152,Burgundy Scarf,Accessories,Scarves,Women's,,Burgundy,Holiday 2025,31.12,9.34,True
153,PRD-0153,White Belt,Accessories,Belts,Women's,,White,Holiday 2023,63.1,18.93,True
154,PRD-0154,Black Scarf,Accessories,Scarves,Unisex,,Black,Holiday 2025,56.07,16.82,True
155,PRD-0155,Navy Scarf,Accessories,Scarves,Women's,,Navy,Holiday 2024,40.95,12.29,True
156,PRD-0156,Navy Hat,Accessories,Hats,Men's,,Navy,Holiday 2025,36.79,11.04,True
157,PRD-0157,Denim Blue Hat,Accessories,Hats,Women's,,Denim Blue,Holiday 2024,35.42,10.63,True
158,PRD-0158,White Belt,Accessories,Belts,Unisex,,White,Holiday 2023,31.49,9.45,True
159,PRD-0159,Burgundy Hat,Accessories,Hats,Men's,,Burgundy,Holiday 2025,16.83,5.05,True
160,PRD-0160,Beige Handbag,Accessories,Bags,Men's,,Beige,Holiday 2024,20.8,6.24,True
161,PRD-0161,Black Hat,Accessories,Hats,Unisex,,Black,Holiday 2025,58.47,17.54,True
162,PRD-0162,Black Hat,Accessories,Hats,Men's,,Black,Holiday 2023,40.92,12.28,True
163,PRD-0163,Denim Blue Scarf,Accessories,Scarves,Men's,,Denim Blue,Holiday 2023,25.18,7.55,True
164,PRD-0164,Beige Scarf,Accessories,Scarves,Women's,,Beige,Holiday 2024,59.04,17.71,True
165,PRD-0165,Black Hat,Accessories,Hats,Women's,,Black,Holiday 2025,45.44,13.63,True
166,PRD-0166,Navy Necklace,Accessories,Jewelry,Unisex,,Navy,Holiday 2024,42.54,12.76,True
167,PRD-0167,White Scarf,Accessories,Scarves,Men's,,White,Holiday 2023,64.61,19.38,True
168,PRD-0168,White Handbag,Accessories,Bags,Men's,,White,Holiday 2025,56.61,16.98,True
169,PRD-0169,Beige Hat,Accessories,Hats,Unisex,,Beige,Holiday 2025,50.27,15.08,True
170,PRD-0170,Denim Blue Hat,Accessories,Hats,Men's,,Denim Blue,Holiday 2023,37.84,11.35,True
171,PRD-0171,Grey Necklace,Accessories,Jewelry,Men's,,Grey,Holiday 2025,40.41,12.12,True
172,PRD-0172,Beige Necklace,Accessories,Jewelry,Women's,,Beige,Holiday 2024,31.99,9.6,True
173,PRD-0173,Black Scarf,Accessories,Scarves,Men's,,Black,Holiday 2024,51.3,15.39,True
174,PRD-0174,Denim Blue Scarf,Accessories,Scarves,Unisex,,Denim Blue,Holiday 2023,37.33,11.2,True
175,PRD-0175,Olive Hat,Accessories,Hats,Men's,,Olive,Holiday 2025,53.14,15.94,True
176,PRD-0176,Olive Hat,Accessories,Hats,Men's,,Olive,Holiday 2023,64.04,19.21,True
177,PRD-0177,Burgundy Necklace,Accessories,Jewelry,Unisex,,Burgundy,Holiday 2023,57.8,17.34,True
178,PRD-0178,Olive Hat,Accessories,Hats,Women's,,Olive,Holiday 2025,38.65,11.59,True
179,PRD-0179,Navy Hat,Accessories,Hats,Men's,,Navy,Holiday 2024,63.24,18.97,True
180,PRD-0180,Ivory Necklace,Accessories,Jewelry,Unisex,,Ivory,Holiday 2024,58.49,17.55,True
